prefix	name	query	count
biorxiv	bioRxiv	"""bioRxiv""[tw]"	576
cohd	MIMIC III Database	"""MIMIC III Database""[tw]"	565
euclinicaltrials	EU Clinical Trials	"""EU Clinical Trials""[tw]"	541
sigmaaldrich	Sigma Aldrich	"""Sigma Aldrich""[tw]"	538
arrayexpress	ArrayExpress	"""ArrayExpress""[tw]"	523
interpro	InterPro	"""InterPro""[tw] OR ""InterPro (interpro)""[tw]"	521
gcst	GWAS Catalog	"""GWAS Catalog""[tw]"	504
ncbigene	NCBI Gene	"""NCBI Gene""[tw] OR ""NCBI Gene (NCBIGene)""[tw]"	503
hp	Human Phenotype Ontology	"""Human Phenotype Ontology""[tw] OR ""Human Phenotype Ontology (HP)""[tw]"	501
arxiv	arXiv	"""arXiv""[tw]"	484
genecards.geneloc	Gene Location	"""Gene Location""[tw]"	458
dsm5	Diagnostic and Statistical Manual of Mental Disorders (5th Edition)	"""Diagnostic and Statistical Manual of Mental Disorders (5th Edition)""[tw]"	457
biosample	BioSample	"""BioSample""[tw]"	444
gdsc	Genomics of Drug Sensitivity in Cancer	"""Genomics of Drug Sensitivity in Cancer""[tw]"	431
pypi	PyPI	"""PyPI""[tw]"	413
ucsc	UCSC Genome Browser	"""UCSC Genome Browser""[tw]"	401
hba	Human Brain Atlas	"""Human Brain Atlas""[tw] OR ""Human Brain Atlas (HBA)""[tw]"	395
pactr	Pan African Clinical Trials Registry	"""Pan African Clinical Trials Registry""[tw]"	392
jecfa	Joint FAO/WHO Expert Committee on Food Additives	"""Joint FAO/WHO Expert Committee on Food Additives""[tw]"	385
prosite	PROSITE	"""PROSITE""[tw]"	379
gnomad	Genome Aggregation Database	"""Genome Aggregation Database""[tw]"	376
gitlab	GitLab	"""GitLab""[tw]"	372
bitbucket	Bitbucket	"""Bitbucket""[tw]"	368
omop	Observational Medical Outcomes Partnership	"""Observational Medical Outcomes Partnership""[tw]"	352
geo	NCBI Gene Expression Omnibus	"""NCBI Gene Expression Omnibus""[tw]"	346
hgmd	Human Gene Mutation Database	"""Human Gene Mutation Database""[tw]"	344
datacommons	Data Commons	"""Data Commons""[tw]"	343
tctr	Thai Clinical Trials Registry	"""Thai Clinical Trials Registry""[tw]"	342
msigdb	Molecular Signatures Database	"""Molecular Signatures Database""[tw]"	342
gbif	Global Biodiversity Information Facility	"""Global Biodiversity Information Facility""[tw]"	322
inchi	InChI	"""InChI""[tw]"	320
biogrid	BioGRID	"""BioGRID""[tw]"	316
xml	Extensible Markup Language	"""Extensible Markup Language""[tw]"	313
encode	Encyclopedia of DNA Elements	"""Encyclopedia of DNA Elements""[tw]"	310
smiles	Simplified molecular-input line-entry system	"""Simplified molecular-input line-entry system""[tw]"	303
toxoplasma	ToxoDB	"""ToxoDB""[tw]"	302
diseaseclass	Disease Class	"""Disease Class""[tw]"	299
iana.mediatype	Media Types	"""Media Types""[tw]"	290
icdo	International Classification of Diseases for Oncology	"""International Classification of Diseases for Oncology""[tw]"	282
knapsack	KNApSAcK	"""KNApSAcK""[tw]"	279
loinc	Logical Observation Identifiers Names and Codes	"""Logical Observation Identifiers Names and Codes""[tw]"	253
hcpcs	Healthcare Common Procedure Coding System	"""Healthcare Common Procedure Coding System""[tw]"	250
kegg.orthology	KEGG Orthology	"""KEGG Orthology""[tw]"	247
hmdb	Human Metabolome Database	"""Human Metabolome Database""[tw]"	238
insdc	Nucleotide Sequence Database	"""Nucleotide Sequence Database""[tw]"	237
rdf	Resource Description Framework	"""Resource Description Framework""[tw] OR ""Resource Description Framework (rdf)""[tw]"	227
orphanet	Orphanet	"""Orphanet""[tw]"	226
cran	The Comprehensive R Archive Network	"""The Comprehensive R Archive Network""[tw]"	225
pictar	PicTar	"""PicTar""[tw]"	224
icd10cm	International Classification of Diseases, 10th Revision, Clinical Modification	"""International Classification of Diseases, 10th Revision, Clinical Modification""[tw]"	222
eggnog	eggNOG	"""eggNOG""[tw]"	220
abcam	Abcam	"""Abcam""[tw]"	218
ecn	EC number	"""EC number""[tw]"	212
ena.embl	European Nucleotide Archive	"""European Nucleotide Archive""[tw]"	212
atc	Anatomical Therapeutic Chemical Classification System	"""Anatomical Therapeutic Chemical Classification System""[tw]"	206
owl	Web Ontology Language	"""Web Ontology Language""[tw] OR ""Web Ontology Language (owl)""[tw]"	198
bioportal	BioPortal	"""BioPortal""[tw]"	197
phenolexplorer	Phenol-Explorer	"""Phenol-Explorer""[tw]"	196
tarbase	TarBase	"""TarBase""[tw]"	191
carnegie.stage	Carnegie Stage	"""Carnegie Stage""[tw]"	191
linguist	Linguist	"""Linguist""[tw]"	186
rxnorm	RxNorm	"""RxNorm""[tw]"	185
google.patent	Google Patents	"""Google Patents""[tw]"	167
bindingdb	BindingDB	"""BindingDB""[tw]"	163
plo	Plasmodium Life Cycle	"""Plasmodium Life Cycle""[tw] OR ""Plasmodium Life Cycle (PLO)""[tw]"	159
genetree	GeneTree	"""GeneTree""[tw]"	151
wormbase	WormBase	"""WormBase""[tw] OR ""WormBase (WormBase)""[tw]"	150
nihreporter.project	NIH RePORTER	"""NIH RePORTER""[tw]"	149
ncbitaxon	NCBI Taxonomy	"""NCBI Taxonomy""[tw] OR ""NCBI Taxonomy (NCBITaxon)""[tw]"	146
wikipathways	WikiPathways	"""WikiPathways""[tw]"	141
mgi	Mouse Genome Informatics	"""Mouse Genome Informatics""[tw] OR ""Mouse Genome Informatics (MGI)""[tw]"	141
peptideatlas	PeptideAtlas	"""PeptideAtlas""[tw]"	140
chemspider	ChemSpider	"""ChemSpider""[tw]"	136
sgd	Saccharomyces Genome Database	"""Saccharomyces Genome Database""[tw]"	134
diseasesdb	Diseases Database	"""Diseases Database""[tw]"	126
mba	Mouse Brain Atlas	"""Mouse Brain Atlas""[tw] OR ""Mouse Brain Atlas (MBA)""[tw]"	125
ncbiprotein	NCBI Protein	"""NCBI Protein""[tw] OR ""NCBI Protein (NCBIProtein)""[tw]"	124
nextprot	nextProt	"""nextProt""[tw]"	124
lonza	Lonza	"""Lonza""[tw]"	109
emea	European Medicines Evaluation Agency	"""European Medicines Evaluation Agency""[tw]"	109
uspto	United States Patent and Trademark Office	"""United States Patent and Trademark Office""[tw]"	104
lipidmaps	LIPID MAPS	"""LIPID MAPS""[tw]"	103
ndc	National Drug Code	"""National Drug Code""[tw]"	102
pdb	PDB Structure	"""PDB Structure""[tw]"	100
hprd	Human Protein Reference Database	"""Human Protein Reference Database""[tw]"	100
dbgap	Database of Genotypes and Phenotypes	"""Database of Genotypes and Phenotypes""[tw]"	98
gtdb	Genome Taxonomy Database	"""Genome Taxonomy Database""[tw]"	97
hgnc	HUGO Gene Nomenclature Committee	"""HUGO Gene Nomenclature Committee""[tw]"	96
reaxys	Reaxys	"""Reaxys""[tw]"	96
ecocyc	EcoCyc	"""EcoCyc""[tw]"	95
plasmodb	PlasmoDB	"""PlasmoDB""[tw]"	92
aaindex	AAindex	"""AAindex""[tw]"	91
cog.category	COG Categories	"""COG Categories""[tw]"	89
homd.taxon	Human Oral Microbiome Database	"""Human Oral Microbiome Database""[tw]"	86
biotools	BioTools	"""BioTools""[tw]"	85
genprop	Genome Properties	"""Genome Properties""[tw]"	85
doi	Digital Object Identifier	"""Digital Object Identifier""[tw]"	83
fma	Foundational Model of Anatomy	"""Foundational Model of Anatomy""[tw] OR ""Foundational Model of Anatomy (FMA)""[tw]"	83
glycoepitope	GlycoEpitope	"""GlycoEpitope""[tw]"	82
mastodon	Mastodon	"""Mastodon""[tw]"	80
inn	International Nonproprietary Names	"""International Nonproprietary Names""[tw]"	80
google.book	Google Books	"""Google Books""[tw]"	79
ncbi.genome	NCBI Genome	"""NCBI Genome""[tw]"	72
tair.locus	The Arabidopsis Information Resource	"""The Arabidopsis Information Resource""[tw]"	72
bfo	Basic Formal Ontology	"""Basic Formal Ontology""[tw] OR ""Basic Formal Ontology (BFO)""[tw]"	71
dbd	Transcription Factor Database	"""Transcription Factor Database""[tw]"	71
apd	Antimicrobial Peptide Database	"""Antimicrobial Peptide Database""[tw]"	71
massbank	MassBank	"""MassBank""[tw]"	71
disprot	DisProt	"""DisProt""[tw]"	69
ncit	NCI Thesaurus	"""NCI Thesaurus""[tw] OR ""NCI Thesaurus (NCIT)""[tw]"	68
prodom	ProDom	"""ProDom""[tw]"	68
wikidata	Wikidata	"""Wikidata""[tw]"	67
biomodels.db	BioModels Database	"""BioModels Database""[tw]"	67
rgd	Rat Genome Database	"""Rat Genome Database""[tw]"	65
neuromorpho	NeuroMorpho	"""NeuroMorpho""[tw]"	65
ec	Enzyme Nomenclature	"""Enzyme Nomenclature""[tw] OR ""Enzyme Nomenclature (EC)""[tw]"	65
ratmap	Rat Genome Database	"""Rat Genome Database""[tw]"	65
homologene	HomoloGene	"""HomoloGene""[tw]"	64
uniprot	UniProt Protein	"""UniProt Protein""[tw]"	63
phenx	PhenX Toolkit	"""PhenX Toolkit""[tw]"	61
chebi	Chemical Entities of Biological Interest	"""Chemical Entities of Biological Interest""[tw] OR ""Chemical Entities of Biological Interest (CHEBI)""[tw]"	58
aop	AOPWiki	"""AOPWiki""[tw]"	58
ensembl	Ensembl Gene	"""Ensembl Gene""[tw]"	57
biomagresbank	BioMagResBank	"""BioMagResBank""[tw]"	56
cl	Cell Ontology	"""Cell Ontology""[tw] OR ""Cell Ontology (CL)""[tw]"	56
pr	Protein Ontology	"""Protein Ontology""[tw] OR ""Protein Ontology (PR)""[tw]"	53
slctr	Sri Lanka Clinical Trials Registry	"""Sri Lanka Clinical Trials Registry""[tw]"	53
csa	Catalytic Site Atlas	"""Catalytic Site Atlas""[tw]"	52
ipi	International Protein Index	"""International Protein Index""[tw]"	50
dailymed	DailyMed	"""DailyMed""[tw]"	49
emdb	Electron Microscopy Data Bank	"""Electron Microscopy Data Bank""[tw]"	49
dip	Database of Interacting Proteins	"""Database of Interacting Proteins""[tw]"	49
genedb	GeneDB	"""GeneDB""[tw]"	48
smart	Simple Modular Architecture Research Tool	"""Simple Modular Architecture Research Tool""[tw]"	47
fema	Flavor and Extract Manufacturers Association	"""Flavor and Extract Manufacturers Association""[tw]"	47
complexportal	Complex Portal	"""Complex Portal""[tw]"	45
openalex	OpenAlex	"""OpenAlex""[tw]"	44
biotop	BioTop	"""BioTop""[tw]"	44
panther.pathway	PANTHER Pathway	"""PANTHER Pathway""[tw]"	43
seed.compound	SEED Compound	"""SEED Compound""[tw]"	43
vo	Vaccine Ontology	"""Vaccine Ontology""[tw] OR ""Vaccine Ontology (VO)""[tw]"	42
bel	Biological Expression Language	"""Biological Expression Language""[tw]"	42
biosimulations	biosimulations	"""biosimulations""[tw]"	42
rex	Physico-chemical process	"""Physico-chemical process""[tw] OR ""Physico-chemical process (REX)""[tw]"	41
rnacentral	RNACentral	"""RNACentral""[tw]"	41
theiler	Theiler Stage	"""Theiler Stage""[tw]"	40
epd	Eukaryotic Promoter Database	"""Eukaryotic Promoter Database""[tw]"	40
allergome	Allergome	"""Allergome""[tw]"	40
fishbase.species	FishBase	"""FishBase""[tw]"	39
po	Plant Ontology	"""Plant Ontology""[tw] OR ""Plant Ontology (PO)""[tw]"	38
ctis	Clinical Trials Information System	"""Clinical Trials Information System""[tw]"	37
pathwaycommons	Pathway Commons	"""Pathway Commons""[tw]"	37
omia	Online Mendelian Inheritance in Animals	"""Online Mendelian Inheritance in Animals""[tw]"	36
orthodb	OrthoDB	"""OrthoDB""[tw]"	36
mp	Mammalian Phenotype Ontology	"""Mammalian Phenotype Ontology""[tw] OR ""Mammalian Phenotype Ontology (MP)""[tw]"	36
icd11.code	ICD 11 Codes	"""ICD 11 Codes""[tw]"	36
tcdb	Transporter Classification Database	"""Transporter Classification Database""[tw]"	36
pocketome	Pocketome	"""Pocketome""[tw]"	34
uniref	UniRef	"""UniRef""[tw]"	34
genpept	GenPept	"""GenPept""[tw]"	34
fsnp	F-SNP	"""F-SNP""[tw]"	34
gtr	Genetic Testing Registry	"""Genetic Testing Registry""[tw]"	34
mint	Molecular Interaction Database	"""Molecular Interaction Database""[tw]"	34
gaz	Gazetteer	"""Gazetteer""[tw] OR ""Gazetteer (GAZ)""[tw]"	34
dsmz	Deutsche Sammlung von Mikroorganismen und Zellkulturen	"""Deutsche Sammlung von Mikroorganismen und Zellkulturen""[tw]"	33
ndfrt	National Drug File - Reference Terminology	"""National Drug File - Reference Terminology""[tw]"	33
dg.f82a1a	Kids First	"""Kids First""[tw]"	33
kegg.genes	KEGG Genes	"""KEGG Genes""[tw]"	33
metatlas	Metabolic Atlas	"""Metabolic Atlas""[tw]"	32
doid	Human Disease Ontology	"""Human Disease Ontology""[tw] OR ""Human Disease Ontology (DOID)""[tw] OR ""DOID""[tw]"	32
mobidb	MobiDB	"""MobiDB""[tw]"	32
kegg.disease	KEGG Disease	"""KEGG Disease""[tw]"	32
chembank	ChemBank	"""ChemBank""[tw]"	31
treebase	TreeBASE	"""TreeBASE""[tw]"	30
snctp	Swiss National Clinical Trials Portal	"""Swiss National Clinical Trials Portal""[tw]"	30
mmdb	Molecular Modeling Database	"""Molecular Modeling Database""[tw]"	30
astd	ASTD	"""ASTD""[tw]"	30
biolegend	BioLegend	"""BioLegend""[tw]"	30
oae	Ontology of Adverse Events	"""Ontology of Adverse Events""[tw] OR ""Ontology of Adverse Events (OAE)""[tw]"	29
cldb	Cell Line Database	"""Cell Line Database""[tw]"	29
pmdb	Protein Model Database	"""Protein Model Database""[tw]"	28
ensembl.plant	Ensembl Plants	"""Ensembl Plants""[tw]"	28
soybase	SoyBase	"""SoyBase""[tw]"	28
pw	Pathway ontology	"""Pathway ontology""[tw] OR ""Pathway ontology (PW)""[tw]"	28
psipar	Protein Affinity Reagents	"""Protein Affinity Reagents""[tw]"	28
otol	Open Tree of Life	"""Open Tree of Life""[tw]"	28
ido	Infectious Disease Ontology	"""Infectious Disease Ontology""[tw] OR ""Infectious Disease Ontology (IDO)""[tw]"	27
inchikey	InChIKey	"""InChIKey""[tw]"	27
mdm	Medical Data Models	"""Medical Data Models""[tw]"	27
paleodb	Paleobiology Database	"""Paleobiology Database""[tw]"	27
sdap	Structural Database of Allergenic Proteins	"""Structural Database of Allergenic Proteins""[tw]"	27
dbpedia	DBPedia	"""DBPedia""[tw]"	27
beiresources	BEI Resources	"""BEI Resources""[tw]"	27
vbrc	Viral Bioinformatics Resource Center	"""Viral Bioinformatics Resource Center""[tw]"	27
xenbase	Xenbase	"""Xenbase""[tw]"	27
eolife	Encyclopedia of Life	"""Encyclopedia of Life""[tw]"	27
ardb	Antibiotic Resistance Genes Database	"""Antibiotic Resistance Genes Database""[tw]"	27
bmrb	Biological Magnetic Resonance Data Bank	"""Biological Magnetic Resonance Data Bank""[tw]"	27
miro	Mosquito insecticide resistance	"""Mosquito insecticide resistance""[tw] OR ""Mosquito insecticide resistance (MIRO)""[tw]"	26
kegg.ligand	KEGG LIGAND	"""KEGG LIGAND""[tw]"	26
cath.domain	CATH domain	"""CATH domain""[tw]"	25
obi	Ontology for Biomedical Investigations	"""Ontology for Biomedical Investigations""[tw] OR ""Ontology for Biomedical Investigations (OBI)""[tw]"	24
modeldb	ModelDB	"""ModelDB""[tw]"	24
dictybase	dictyBase	"""dictyBase""[tw]"	24
cgd	Candida Genome Database	"""Candida Genome Database""[tw]"	24
cdt	Current Dental Terminology	"""Current Dental Terminology""[tw]"	24
gdc	Genomic Data Commons Data Portal	"""Genomic Data Commons Data Portal""[tw]"	23
imdrf	International Medical Device Regulators Forum	"""International Medical Device Regulators Forum""[tw]"	23
devtox	DevTox	"""DevTox""[tw]"	23
tred	Transcriptional Regulatory Element Database	"""Transcriptional Regulatory Element Database""[tw]"	23
fda.application	FDA Application	"""FDA Application""[tw]"	22
efo	Experimental Factor Ontology	"""Experimental Factor Ontology""[tw] OR ""Experimental Factor Ontology (EFO)""[tw]"	22
glytoucan	GlyTouCan	"""GlyTouCan""[tw]"	22
oma.grp	OMA Group	"""OMA Group""[tw]"	22
col	Catalogue of Life	"""Catalogue of Life""[tw]"	22
obo	Open Biological and Biomedical Ontologies	"""Open Biological and Biomedical Ontologies""[tw] OR ""Open Biological and Biomedical Ontologies (obo)""[tw]"	22
dcat	Data Catalog	"""Data Catalog""[tw] OR ""Data Catalog (dcat)""[tw]"	21
itmctr	International Traditional Medicine Clinical Trial Registry	"""International Traditional Medicine Clinical Trial Registry""[tw]"	21
vipr	Virus Pathogen Resource	"""Virus Pathogen Resource""[tw]"	21
classyfire	ClassyFire	"""ClassyFire""[tw]"	21
kegg.drug	KEGG Drug	"""KEGG Drug""[tw]"	21
tritrypdb	TriTrypDB	"""TriTrypDB""[tw]"	21
isrctn	International Traditional Medicine Clinical Trial Registry	"""International Traditional Medicine Clinical Trial Registry""[tw]"	21
cellosaurus	Cellosaurus	"""Cellosaurus""[tw]"	20
lincs.data	LINCS Data	"""LINCS Data""[tw]"	20
jws	JWS Online	"""JWS Online""[tw]"	20
ngl	NASA GeneLab	"""NASA GeneLab""[tw]"	20
ghr	Genetics Home Reference	"""Genetics Home Reference""[tw]"	20
sgn	Sol Genomics Network	"""Sol Genomics Network""[tw]"	20
ppdb	Pesticide Properties DataBase	"""Pesticide Properties DataBase""[tw]"	20
lipro	Lipid Ontology	"""Lipid Ontology""[tw] OR ""Lipid Ontology (LIPRO)""[tw]"	19
kegg.module	KEGG Module	"""KEGG Module""[tw]"	19
antifam	AntiFam	"""AntiFam""[tw]"	19
smpdb	Small Molecule Pathway Database	"""Small Molecule Pathway Database""[tw]"	19
gold	Genomes Online Database	"""Genomes Online Database""[tw]"	19
uniparc	UniProt Archive	"""UniProt Archive""[tw]"	19
ro	Relation Ontology	"""Relation Ontology""[tw] OR ""Relation Ontology (RO)""[tw]"	19
dg.6vts	JCOIN	"""JCOIN""[tw]"	19
swiss-model	SWISS-MODEL Repository	"""SWISS-MODEL Repository""[tw]"	19
enzo	Enzo Life Sciences	"""Enzo Life Sciences""[tw]"	18
pombase	PomBase	"""PomBase""[tw]"	18
utrdb	UTRdb	"""UTRdb""[tw]"	18
rtecs	Registry of Toxic Effects of Chemical Substances	"""Registry of Toxic Effects of Chemical Substances""[tw]"	18
greengenes	16S rRNA gene database	"""16S rRNA gene database""[tw]"	18
imex	International Molecular Exchange	"""International Molecular Exchange""[tw]"	18
seed.subsystem	SEED Subsystem	"""SEED Subsystem""[tw]"	18
nord	National Organization for Rare Disorders	"""National Organization for Rare Disorders""[tw]"	18
subtilist	Bacillus subtilis genome sequencing project	"""Bacillus subtilis genome sequencing project""[tw]"	17
bdsc	Bloomington Drosophila Stock Center	"""Bloomington Drosophila Stock Center""[tw]"	17
ncbibook	NCBI Bookshelf	"""NCBI Bookshelf""[tw]"	17
d1id	DataONE	"""DataONE""[tw]"	17
treefam	TreeFam	"""TreeFam""[tw]"	17
hsapdv	Human Developmental Stages	"""Human Developmental Stages""[tw] OR ""Human Developmental Stages (HsapDv)""[tw]"	17
aro	Antibiotic Resistance Ontology	"""Antibiotic Resistance Ontology""[tw] OR ""Antibiotic Resistance Ontology (ARO)""[tw]"	17
chemdb	ChemDB	"""ChemDB""[tw]"	17
merops.family	MEROPS Family	"""MEROPS Family""[tw]"	17
cido	Coronavirus Infectious Disease Ontology	"""Coronavirus Infectious Disease Ontology""[tw] OR ""Coronavirus Infectious Disease Ontology (CIDO)""[tw]"	17
fungorum	Index Fungorum	"""Index Fungorum""[tw]"	17
pseudomonas	Pseudomonas Genome Database	"""Pseudomonas Genome Database""[tw]"	17
hsdb	Hazardous Substances Data Bank	"""Hazardous Substances Data Bank""[tw]"	16
hao	Hymenoptera Anatomy Ontology	"""Hymenoptera Anatomy Ontology""[tw] OR ""Hymenoptera Anatomy Ontology (HAO)""[tw]"	16
planttfdb	Plant Transcription Factor Database	"""Plant Transcription Factor Database""[tw]"	16
graingenes.symbol	GrainGenes	"""GrainGenes""[tw]"	16
chemidplus	ChemIDplus	"""ChemIDplus""[tw]"	16
graingenes.reference	GrainGenes	"""GrainGenes""[tw]"	16
cog	Cluster of orthologous genes	"""Cluster of orthologous genes""[tw]"	16
salk	Salk Institute for Biological Studies	"""Salk Institute for Biological Studies""[tw]"	16
grin	Germplasm Resources Information Network	"""Germplasm Resources Information Network""[tw]"	16
synbip.sbp	Synthetic Binding Protein	"""Synthetic Binding Protein""[tw]"	16
bioregistry	Bioregistry	"""Bioregistry""[tw]"	16
plant_reactome	Plant Reactome	"""Plant Reactome""[tw]"	16
dmba	Developing Mouse Brain Atlas	"""Developing Mouse Brain Atlas""[tw] OR ""Developing Mouse Brain Atlas (DMBA)""[tw]"	15
biocarta.pathway	BioCarta Pathway	"""BioCarta Pathway""[tw]"	15
th	Terminologia Histologica	"""Terminologia Histologica""[tw]"	15
elm	Eukaryotic Linear Motif Resource	"""Eukaryotic Linear Motif Resource""[tw]"	15
hgvs	Human Genome Variation Society Nomenclature	"""Human Genome Variation Society Nomenclature""[tw]"	15
pharmvar	Pharmacogene Variation Consortium	"""Pharmacogene Variation Consortium""[tw]"	15
viralzone	ViralZone	"""ViralZone""[tw]"	15
antibodyregistry	Antibody Registry	"""Antibody Registry""[tw]"	15
clo	Cell Line Ontology	"""Cell Line Ontology""[tw] OR ""Cell Line Ontology (CLO)""[tw]"	15
gpmdb	Global Proteome Machine Database	"""Global Proteome Machine Database""[tw]"	14
cpc	Cooperative Patent Classification	"""Cooperative Patent Classification""[tw]"	14
ndex	Network Data Exchange	"""Network Data Exchange""[tw]"	14
subtiwiki	SubtiWiki	"""SubtiWiki""[tw]"	14
rgap	Rice Genome Annotation Project	"""Rice Genome Annotation Project""[tw]"	14
hpscreg	Human Pluripotent Stem Cell Registry	"""Human Pluripotent Stem Cell Registry""[tw]"	14
mtbd	Mouse Tumor Biology Database	"""Mouse Tumor Biology Database""[tw]"	14
orphanet.ordo	Orphanet Rare Disease Ontology	"""Orphanet Rare Disease Ontology""[tw]"	14
skos	Simple Knowledge Organization System	"""Simple Knowledge Organization System""[tw] OR ""Simple Knowledge Organization System (skos)""[tw]"	14
schema	Schema.org	"""Schema.org""[tw] OR ""Schema.org (schema)""[tw]"	14
panorama	Panorama Public	"""Panorama Public""[tw]"	14
cameo	Continuous Automated Model Evaluation	"""Continuous Automated Model Evaluation""[tw]"	14
hpm.protein	Human Proteome Map	"""Human Proteome Map""[tw]"	14
drsc	Drosophila RNAi Screening Center	"""Drosophila RNAi Screening Center""[tw]"	14
kcris	Korean Clinical Research Information Service	"""Korean Clinical Research Information Service""[tw]"	14
kegg.glycan	KEGG Glycan	"""KEGG Glycan""[tw]"	14
ricegap	Rice Genome Annotation Project	"""Rice Genome Annotation Project""[tw]"	14
epso	Epilepsy and Seizure Ontology	"""Epilepsy and Seizure Ontology""[tw]"	13
loggerhead	Loggerhead nesting	"""Loggerhead nesting""[tw] OR ""Loggerhead nesting (LOGGERHEAD)""[tw]"	13
drugcentral	Drug Central	"""Drug Central""[tw]"	13
